what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343173173
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343173366
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1505343177345
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1505343179467
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343189380
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343192026
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1505343192231
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1505343198803
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343200919
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343203858
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343209150
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343210492
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343210726
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343242482
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343245185
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1505343245318
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1505343248398
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343251274
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343271376
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343275330
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1505343276867
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1505343279219
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343280444
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343283777
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343285638
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343285850
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343292903
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343293863
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1505343293890
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343297971
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343299476
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343299678
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343311158
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343318903
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1505343321781
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1505343325452
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343325649
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343330603
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343332171
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343333459
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343333654
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343335499
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343337641
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343337932
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343344444
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343347284
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1505343347635
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1505343351541
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343352112
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343353664
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343353961
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343354732
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343358040
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343358232
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343359421
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343360743
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343360923
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343362956
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343364315
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343364506
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343365325
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343367287
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343367473
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343374386
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343376517
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1505343376738
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343378226
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343381930
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343381984
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343383016
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343384658
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343384847
started,bundle,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui",1505343388658
started,bundle,org.eclipse.wst.jsdt.js.bower,1.0.0.v201605192332,"org.eclipse.wst.jsdt.js.bower",1505343388935
started,bundle,org.eclipse.wst.jsdt.js.node,1.0.0.v201608102114,"org.eclipse.wst.jsdt.js.node",1505343389002
started,bundle,org.eclipse.wst.jsdt.js.npm,1.0.0.v201607180823,"org.eclipse.wst.jsdt.js.npm",1505343389025
started,bundle,org.eclipse.wst.jsdt.core,2.0.0.v201608251059,"org.eclipse.wst.jsdt.core",1505343389399
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.601.v201602241911,"org.eclipse.wst.jsdt.manipulation",1505343389543
started,bundle,org.eclipse.wst.jsdt.ui,2.0.0.v201608301904,"org.eclipse.wst.jsdt.ui",1505343389552
started,bundle,org.eclipse.jdt.debug,3.10.1.v20160811-0441,"org.eclipse.jdt.debug",1505343390287
started,bundle,org.eclipse.wst.jsdt.chromium.debug.core,0.5.0.v201608251013,"org.eclipse.wst.jsdt.chromium.debug.core",1505343391825
started,bundle,org.eclipse.jdt.debug.ui,3.7.201.v20160811-0450,"org.eclipse.jdt.debug.ui",1505343391949
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343392730
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343392755
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343396694
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343398939
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1505343399232
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343407905
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343428613
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1505343430029
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343430353
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343432870
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343435965
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343444406
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343448027
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1505343457476
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343457822
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343460957
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343492249
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343497515
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343541831
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343545084
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343546158
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343546350
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343552424
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343569130
started,bundle,org.eclipse.wst.validation,1.2.700.v201508251749,"org.eclipse.wst.validation",1505343571716
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.saveAll",1505343572666
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343574036
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343591381
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1505343593272
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343608853
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343613409
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343645831
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505343652791
