what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.userstorage,1.0.0.v20160524-0709,"org.eclipse.userstorage",1501712020051
started,bundle,org.eclipse.userstorage.ui,1.0.0.v20151216-0912,"org.eclipse.userstorage.ui",1501712020051
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030423,"org.eclipse.wst.common.project.facet.core",1501712020052
started,bundle,org.eclipse.wst.sse.ui,1.3.500.v201605120129,"org.eclipse.wst.sse.ui",1501712020053
started,bundle,org.eclipse.wst.web,1.1.800.v201312041437,"org.eclipse.wst.web",1501712020054
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1501712020054
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1501712020055
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1501712020055
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1501712020056
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1501712020056
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1501712020058
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1501712020065
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1501712020065
os,sysinfo,,,"win32",1501712020068
arch,sysinfo,,,"x86_64",1501712020068
ws,sysinfo,,,"win32",1501712020068
locale,sysinfo,,,"pt_BR",1501712020069
processors,sysinfo,,,"4",1501712020069
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1501712020069
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1501712020069
java.specification.name,sysinfo,,,"Java Platform API Specification",1501712020069
java.specification.vendor,sysinfo,,,"Oracle Corporation",1501712020069
java.specification.version,sysinfo,,,"1.8",1501712020069
java.vendor,sysinfo,,,"Oracle Corporation",1501712020069
java.version,sysinfo,,,"1.8.0_102",1501712020069
java.vm.info,sysinfo,,,"mixed mode",1501712020069
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1501712020069
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1501712020069
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1501712020069
java.vm.specification.version,sysinfo,,,"1.8",1501712020069
java.vm.vendor,sysinfo,,,"Oracle Corporation",1501712020069
java.vm.version,sysinfo,,,"25.102-b14",1501712020069
started,bundle,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit",1501712024899
