what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1491610675379
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1491610683369
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1491610687787
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1491610689616
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1491610692794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1491610710448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1491610715504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610719270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610720055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610720296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610721309
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1491610721766
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1491610728244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610740087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610741205
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1491610741635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610750196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610753647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610764645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610768063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610778085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610781839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610795746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610796795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610811829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610816471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610828181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610838823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610848373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610849199
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1491610849241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610854628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610855590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610856677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610857663
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1491610858096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610863172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610866183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610874628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610879671
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1491610881038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610933348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610937272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610956783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491610957831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1491610958754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1491610974307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1491610986826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1491610996546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611016876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611017726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611017952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611019060
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1491611019508
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1491611020406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611020408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611021762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611032364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611035847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611041348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611045983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611060827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611063863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611069220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611072235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611075811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611078711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611090764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1491611093118
