what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450164233
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1508450169334
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450173335
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450182249
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450201973
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450238663
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450240266
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450249699
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.undo",1508450253148
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.lineStart",1508450259693
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1508450274612
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450279487
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450289424
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450294701
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450297123
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450297861
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450299633
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450316344
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450318532
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450320769
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450322129
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450322641
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450322762
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450324305
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450326597
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450326758
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450331322
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450333796
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450335012
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450335770
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1508450345785
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450350688
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1508450353964
