what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.userstorage.ui,1.0.0.v20151216-0912,"org.eclipse.userstorage.ui",1524786799745
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030423,"org.eclipse.wst.common.project.facet.core",1524786799745
started,bundle,org.eclipse.wst.jsdt.core,2.0.0.v201608251059,"org.eclipse.wst.jsdt.core",1524786799747
started,bundle,org.eclipse.wst.server.core,1.8.100.v201605201456,"org.eclipse.wst.server.core",1524786799748
started,bundle,org.eclipse.wst.sse.ui,1.3.500.v201605120129,"org.eclipse.wst.sse.ui",1524786799750
started,bundle,org.eclipse.wst.validation,1.2.700.v201508251749,"org.eclipse.wst.validation",1524786799751
started,bundle,org.eclipse.wst.web,1.1.800.v201312041437,"org.eclipse.wst.web",1524786799751
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1524786799752
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1524786799753
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1524786799754
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1524786799755
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1524786799756
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1524786799758
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1524786799759
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1524786799759
os,sysinfo,,,"win32",1524786799776
arch,sysinfo,,,"x86_64",1524786799776
ws,sysinfo,,,"win32",1524786799776
locale,sysinfo,,,"pt_BR",1524786799776
processors,sysinfo,,,"4",1524786799776
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1524786799776
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1524786799776
java.specification.name,sysinfo,,,"Java Platform API Specification",1524786799776
java.specification.vendor,sysinfo,,,"Oracle Corporation",1524786799776
java.specification.version,sysinfo,,,"1.8",1524786799776
java.vendor,sysinfo,,,"Oracle Corporation",1524786799776
java.version,sysinfo,,,"1.8.0_102",1524786799776
java.vm.info,sysinfo,,,"mixed mode",1524786799776
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1524786799776
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1524786799776
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1524786799776
java.vm.specification.version,sysinfo,,,"1.8",1524786799776
java.vm.vendor,sysinfo,,,"Oracle Corporation",1524786799776
java.vm.version,sysinfo,,,"25.102-b14",1524786799776
started,bundle,org.eclipse.rse.files.ui,3.2.200.201507172213,"org.eclipse.rse.files.ui",1524786799924
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1524786843597
opened,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524786862690
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524786863231
started,bundle,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit",1524786870373
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524787013869
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1524787031692
